Species,Tissue,CellType,Marker,Resource
Mouse,Brain,Monocyte,"Ccr2, Ly6c2, Plac8, Ear2, F13a1, H2-Aa, Ace, Cd14, Cd74, Chil3, Cxcl2, Ear1, Eno3, Fcgr1, Fn1, H2-Ab1, H2-Eb1, Itgam, Ly6i, Lyz2, Mgl2, Mrc1, Ms4a7, Tgfbi, Thbs1","34099706, 33782623, 35260865, 35764885, 35835751, 32265666, 33608526, 35951114, 34496660, 35051311, 35653194, 31061494, 35705491, 25830951"
Mouse,Brain,Monocyte-derived dendritic cell,"Cd74, H2-Aa, H2‐Aa, Ifitm1, Il1b","32265666, 35051311"
Mouse,Brain,Myeloid suppressor cell,S100a8,35653194
Mouse,Brain,Natural killer cell,"Gzma, Ncr1, Klrb1c, Nkg7, Car2, Eomes, Ifng, Klrd1, Klre1, Klrk1, Nktr, Prf1, S100a1","33782623, 35764885, 32265666, 34551293, 35951114, 34496660, 35624211, 35051311, 35653194, 31061494"
Mouse,Brain,Neural crest cell,Crabp1,32727894
Mouse,Brain,Neural progenitor cell,"Dcx, Arx, Ccnd2, Ascl1, Dlx2, Hes5, Npc2, Olig2, Pax6, S100a6","30283141, 35260865, 34488832, 32727894, 35929805, 24115312"
Mouse,Brain,Neuroblast (sensu Vertebrata),"Dcx, Ccnd2, Dlx1, Neurod1, Sox11, Acvr2a, Btg1, Celf4, Crmp1, Dbn1, Dchs1, Dlx2, Dlx5, Dlx6, Eya2, Fgf10, Fgf3, Fgf8, Foxc1, Fxyd6, Fzd10, Hes5, Hmgb2, Isl1, Jag2, Meis2, Nav3, Ncam1, Neurog1, Neurog2, Notch1, Olfm1, Pfn2, Pou3f3, Six1, Sox5, Stmn2, Top2a","34122018, 32744501, 34663959, 30625322, 26235341, 19436318, 24768691, 26000486, 29727663"
Mouse,Brain,Neuron,"Snap25, Meg3, Rbfox3, Map2, Syt1, Nrgn, Tubb3, Cartpt, Eno2, Ndrg4, Pcp4, Prlr, Snhg11, Sst, Syn1, Aif1, Atp1b1, Cck, Chat, Crh, Elavl2, Foxp2, Gfap, Gnpnat1, Kif1a, Kif5a, Lhx5, Lmo3, Mafb, Meis2, Nefh, Nefm, Nes, Nfasc, Nos1, Npy, Nr2f2, Nts, Pdyn, Penk, Prkcd, Rbfox1, Rbfox2, Rprm, Scn7a, Slc12a5, Slc14a1, Slc17a6, Slc17a7, Stmn2, Syp, Tcf4, Zic1","34099706, 32869744, 29474909, 35452595, 35260865, 32183906, 31711176, 33854507, 35061297, 35858575, 31913118, 34397382, 34551293, 33057193, 34122018, 35951114, 34965428, 35649351, 31411560, 34663959, 35051311, 33113347, 33647234, 30858605, 32181251, 30625322, 32236824, 35452605, 35675353, 33926839, 33176134, 29545511, 28597398, 28336359, 26470785, 26359103, 16650608, 25523827, 19345723, 29024657"
Mouse,Brain,Neuronal stem cell,"Ccnd2, Dcx, Hmgb2, Meg3, Ndrg4, Snap25, Snhg11, Sox11","33854507, 34965428, 30625322"
Mouse,Brain,Neutrophil,"S100a9, Ly6g, S100a8, Retnlg, Camp, Cd14, Cxcl12, Il1b, Ly6c2, Ngp","35195371, 35835751, 34551293, 35624211, 35653194, 31061494"
Mouse,Brain,NG2-glia cell,F11r,20184779
Mouse,Brain,Non-classical monocyte,"Ace, Adgre1, Csf1r, Ear2, Eno3","33782623, 31061494"
Mouse,Brain,Olfactory bulb interneuron,"Dcx, Dlx5, Gad1, Sp8",32234482
Mouse,Brain,Olfactory ensheathing cell,"Frzb, Mybpc1","35260865, 34749773, 29545511"
Mouse,Brain,Olfactory receptor cell,"Adcy3, Ano2, Cnga2, Cnga4, Cngb1, Gnal, Ncam1, Neurog1, Omp",26839357
Mouse,Brain,Olfactory unsheathing cell,"Gfap, Ngfr, Ran, S100b",33926839
Mouse,Brain,Oligodendrocyte,"Mbp, Mog, Plp1, Olig1, Mobp, Olig2, Opalin, Mag, Pdgfra, Sox10, Cldn11, Cnp, Cspg4, Car2, Cntn1, Enpp2, Enpp6, Ptgds, Trf, C3, C4b, Cd9, Cspg5, Ermn, Fabp7, Fyn, Gpr17, Hapln2, Igtp, Klk6, Mal, Neat1, Nfasc, Serpina3n, Tnfaip6, Vcan","29474909, 35195371, 35452595, 35260865, 32183906, 31711176, 34021242, 31574155, 33854507, 35413950, 35061297, 35858575, 34210306, 35835751, 34551293, 33057193, 34488832, 34122018, 35951114, 35929805, 34496660, 34965428, 35649351, 35838338, 34473054, 31411560, 34078745, 34663959, 35051311, 34337051, 33647234, 32221280, 32181251, 30625322, 32236824, 32579914, 35452605, 35675353, 31233341, 31863004, 33926839, 11455251, 29545511, 28695768, 23727388, 29024657, 29727663, 30825797"
Mouse,Brain,Oligodendrocyte precursor cell,"Pdgfra, Olig1, Gpr17, C1ql1, Cspg4, Sox10, Bmp4, Cspg5, Fyn, Lhfpl3, Neu4, Olig2, Tnr, Vcan, Cdo1, Epn2, Lingo1, Nfasc, Pdgfa, Pdgfb, Pdgfc, Pdgfd, S100b, Sox8, Susd5","32621641, 30283141, 29474909, 35195371, 35452595, 35260865, 32183906, 33854507, 35413950, 35061297, 35858575, 33243861, 34122018, 35951114, 34749773, 34965428, 35649351, 31411560, 34078745, 34663959, 35051311, 33647234, 32221280, 32234482, 30625322, 35675353, 33926839, 29545511, 23939222, 29024657"
Mouse,Brain,Peptidergic neuron,"Cartpt, Postn, Ucn",31411560
Mouse,Brain,Pericyte,"Vtn, Kcnj8, Pdgfrb, Rgs5, Abcc9, Cspg4, Anpep, Mcam, Acta2, Atp13a5, Cd248, Des, Notch3, Zic1, Ace2, Apod, Cald1, Dcn, Dlk1, Mrc1, Mylk, Pf4, Snap25","34099706, 30283141, 35195371, 35452595, 35260865, 33854507, 35858575, 35835751, 32727894, 35951114, 34965428, 31411560, 33251489, 33446504, 33138917, 30858605, 30625322, 32236824, 35675353, 25788671, 26891660, 24510880, 18212066, 12598306, 16807374, 15459006"
Mouse,Brain,Pituicyte,Nkx2-1,33373440
Mouse,Brain,Plasmacytoid dendritic cell,"Siglech, Ccr9, Pacsin1, Flt3, Irf8, Itgax, Ly6c2, Ly6d, Runx2","32265666, 35624211, 35653194, 31061494"
